"Price","Beds","Lon","Lat"
70,"1",-2.98414,53.4481
79.95,"1",-2.98183,53.401
90,"1",-2.9351437,53.374577
385,"1",-2.96828,53.4625
30,"1",-3.03845,53.4358
135,"1",-3.02856,53.4049
136,"1",-3.0009942,53.413578
50,"1",-2.98177,53.4486
55,"1",-2.98993,53.4471
49.95,"1",-2.99492,53.4473
57,"1",-2.9899027,53.447117
77.5,"1",-3.01348,53.395153
59.95,"1",-3.01348,53.395153
40,"1",-2.99351,53.449
76.95,"1",-3.0364,53.4181
79.5,"1",-3.01056,53.3914
99.95,"1",-3.03943,53.4234
65,"1",-3.0408,53.4283
69.95,"1",-3.02341,53.411
100,"1",-3.02466,53.4161
100,"1",-3.04048,53.3839
59.5,"1",-3.05293,53.4369
129.95,"1",-3.0371,53.4391
75,"1",-3.05267,53.4281
85,"1",-3.03419,53.3792
99.95,"1",-3.02765,53.3753
45,"1",-3.04479,53.4374
105,"1",-3.01452,53.3651
330,"1",-3.02594,53.3873
35,"1",-3.03691,53.3889
65,"1",-3.05974,53.4242
72.5,"1",-3.01593,53.3731
159.95,"1",-3.01766,53.3781
130,"1",-3.04625,53.3837
42,"1",-3.01494,53.3594
130,"1",-3.04573,53.4211
45,"1",-3.00841,53.367
82.5,"1",-3.0237901,53.475647
87.5,"1",-3.00605,53.3523
94.95,"1",-3.04334,53.3728
52.95,"1",-2.8484952,53.36284
88,"1",-3.06847,53.4338
80,"1",-3.03423,53.379
70,"1",-3.05443,53.3826
73,"1",-2.800039,53.42394
80,"1",-3.05192,53.3847
49.5,"1",-2.896675,53.493076
40,"1",-2.8810036,53.486046
87.5,"1",-2.9846,53.331
69.95,"1",-3.08863,53.4155
165,"1",-3.0460885,53.490917
75,"1",-2.81096,53.3639
70,"1",-2.98414,53.4481
89.995,"1",-2.9461,53.3882
100,"1",-3.05368,53.434
120,"1",-3.05918,53.3867
79.95,"1",-3.04178,53.3804
68,"1",-3.03876,53.3699
84.999,"1",-2.9706302,53.389664
50,"1",-2.9932284,53.448967
70,"1",-2.984143,53.448063
65,"1",-2.989903,53.447117
119.95,"1",-3.0285294,53.404945
55,"1",-2.989903,53.447117
50,"1",-2.9817467,53.44862
69.95,"1",-2.989903,53.447117
55,"1",-3.0185094,53.3696
70,"1",-3.0143795,53.39123
50,"1",-3.0004508,53.45707
35,"1",-3.022872,53.41428
60,"1",-3.0456407,53.417545
59.5,"1",-3.0529046,53.43688
70,"1",-3.038731,53.369873
136.95,"1",-2.8750207,53.372498
90,"1",-3.0142746,53.365326
138.95,"1",-2.8750207,53.372498
139.95,"1",-2.8750207,53.372498
65,"1",-3.0597103,53.424244
95,"1",-3.0060189,53.352345
40,"1",-3.0521345,53.381332
70,"1",-3.038731,53.369873
80,"1",-3.0578947,53.38687
95,"1",-3.0544071,53.382645
80,"1",-3.027931,53.36015
42,"1",-3.01649,53.35927
47.5,"1",-3.0521345,53.381332
73,"1",-2.801783,53.424816
55,"1",-2.970657,53.49452
55,"1",-2.9760308,53.446915
78.97,"1",-2.989903,53.447117
69.995,"1",-2.9894578,53.48302
29.95,"1",-2.8808122,53.438972
49.95,"1",-2.8351154,53.41093
59.95,"1",-2.8518724,53.367165
165,"2",-2.98372,53.4014
180,"2",-2.841268,53.41511
74.95,"2",-2.894253,53.354233
140,"2",-3.03358,53.4874
57,"2",-2.94645,53.3905
95,"2",-2.883923,53.424915
115,"2",-2.910362,53.4308
190,"2",-3.00144,53.4148
90,"2",-2.871533,53.383656
70,"2",-2.94067,53.468
128,"2",-2.98598,53.4136
60,"2",-2.97138,53.4625
85,"2",-2.9489,53.4161
89.95,"2",-2.97594,53.4229
55,"2",-2.97244,53.4466
227.5,"2",-2.99012,53.403
82,"2",-2.93431,53.3977
58,"2",-2.95492,53.4254
120,"2",-3.03985,53.483
194.95,"2",-3.04508,53.485
125,"2",-2.899052,53.36522
65,"2",-2.96177,53.4588
90,"2",-2.92424,53.4035
162.5,"2",-2.96907,53.4017
190,"2",-2.99283,53.4089
72.5,"2",-2.91557,53.4053
199.95,"2",-2.96907,53.4017
99.95,"2",-2.97594,53.4229
65,"2",-2.93912,53.4263
150,"2",-2.910538,53.427296
75,"2",-2.93252,53.3971
104.95,"2",-2.9117098,53.41609
115,"2",-2.97791,53.4022
110,"2",-2.96442,53.4266
65,"2",-2.9441,53.4133
189.95,"2",-2.97859,53.4006
135,"2",-2.94674,53.4359
110,"2",-2.90151,53.4293
50,"2",-2.94158,53.401
179.95,"2",-2.99283,53.4089
60,"2",-2.94272,53.4008
110,"2",-2.96204,53.4121
68.25,"2",-2.95477,53.4298
149.95,"2",-2.95198,53.3898
45,"2",-2.97052,53.4417
64.95,"2",-2.9632,53.4409
125,"2",-2.9872,53.4099
79.95,"2",-2.97174,53.4187
217.5,"2",-2.91565,53.3971
237.5,"2",-2.99283,53.409
89.95,"2",-2.96415,53.42
127.5,"2",-2.97307,53.4096
119.5,"2",-2.98554,53.409
139.95,"2",-2.95625,53.4096
189.95,"2",-2.97859,53.4006
89.95,"2",-2.90707,53.4135
199.95,"2",-2.97742,53.4011
125,"2",-2.96747,53.4111
119,"2",-2.98834,53.4285
192.5,"2",-2.99283,53.4089
114.95,"2",-2.99055,53.4115
110,"2",-2.95458,53.3978
179.95,"2",-2.98621,53.402004
279.95,"2",-2.98695,53.3978
124.95,"2",-2.98193,53.4311
44,"2",-2.96932,53.4144
59.995,"2",-2.98607,53.4334
125,"2",-2.94954,53.4055
165,"2",-2.99514,53.408
52.5,"2",-2.97188,53.4163
45,"2",-2.97461,53.43031
105,"2",-2.921783,53.44324
190,"2",-2.90679,53.42
182.5,"2",-2.99954,53.4109
99.995,"2",-2.96736,53.4301
169.95,"2",-2.98806,53.4095
115,"2",-2.98432,53.4118
160,"2",-2.99658,53.4111
105,"2",-2.89374,53.4993
211,"2",-2.9701,53.4113
57.95,"2",-2.94062,53.4009
160,"2",-2.97982,53.4004
197,"2",-2.99658,53.4111
109.95,"2",-2.97505,53.4231
99.95,"2",-2.95788,53.3985
84.95,"2",-2.90707,53.4135
